Date,SP500,Crude_Oil,US_10Y_Yield,Copper,Steel_PPI,CPI,Unemployment_Rate
2021-01-01,3714.239990234375,52.20000076293945,1.093000054359436,3.573499917984009,250.1,262.687,6.4
2021-02-01,3811.14990234375,61.5,1.4600000381469727,4.0945000648498535,273.5,263.579,6.2
2021-03-01,3972.889892578125,59.15999984741211,1.746000051498413,4.002999782562256,377.9,264.961,6.1
2021-04-01,4181.169921875,63.58000183105469,1.63100004196167,4.479000091552734,478.9,266.614,6.1
2021-05-01,4204.10986328125,66.31999969482422,1.5809999704360962,4.682499885559082,482.6,268.383,5.8
2021-06-01,4297.5,73.47000122070312,1.4429999589920044,4.296500205993652,506.7,270.654,5.9
2021-07-01,4395.259765625,73.94999694824219,1.2389999628067017,4.480500221252441,621.968,271.903,5.4
2021-09-01,4307.5400390625,75.02999877929688,1.5290000438690186,4.090000152587891,650.288,273.91,4.7
2021-10-01,4605.3798828125,83.56999969482422,1.5570000410079956,4.375500202178955,701.663,276.55,4.5
2021-11-01,4567.0,66.18000030517578,1.4429999589920044,4.2779998779296875,711.611,278.919,4.1
2021-12-01,4766.18017578125,75.20999908447266,1.5119999647140503,4.454999923706055,707.578,280.845,3.9
2022-01-01,4515.5498046875,88.1500015258789,1.781999945640564,4.317999839782715,680.415,282.543,4.0
2022-02-01,4373.93994140625,95.72000122070312,1.8389999866485596,4.444499969482422,558.327,284.5,3.9
2022-03-01,4530.41015625,100.27999877929688,2.3269999027252197,4.743000030517578,493.301,287.674,3.7
2022-04-01,4131.93017578125,104.69000244140625,2.88700008392334,4.394999980926514,526.227,288.561,3.7
2022-06-01,3785.3798828125,105.76000213623047,2.9719998836517334,3.7144999504089355,563.489,294.957,3.6
2022-07-01,4130.2900390625,98.62000274658203,2.6419999599456787,3.5840001106262207,522.493,294.913,3.5
2022-08-01,3955.0,89.55000305175781,3.132999897003174,3.5185000896453857,507.982,295.097,3.6
2022-09-01,3585.6201171875,79.48999786376953,3.803999900817871,3.441999912261963,441.036,296.349,3.5
2022-10-01,3871.97998046875,86.52999877929688,4.077000141143799,3.4135000705718994,368.249,298.007,3.6
2022-11-01,4080.110107421875,80.55000305175781,3.703000068664551,3.7295000553131104,356.16,298.786,3.6
2022-12-01,3839.5,80.26000213623047,3.878999948501587,3.805500030517578,349.378,298.832,3.5
2023-02-01,3970.14990234375,77.05000305175781,3.9159998893737793,4.097499847412109,329.742,301.45,3.6
2023-03-01,4109.31005859375,75.66999816894531,3.49399995803833,4.104499816894531,339.953,301.821,3.5
2023-04-01,4169.47998046875,76.77999877929688,3.4519999027252197,3.869999885559082,377.689,302.845,3.4
2023-05-01,4179.830078125,68.08999633789062,3.63700008392334,3.63100004196167,396.966,303.334,3.6
2023-06-01,4450.3798828125,70.63999938964844,3.819000005722046,3.740999937057495,409.487,304.014,3.6
2023-07-01,4588.9599609375,81.80000305175781,3.9590001106262207,3.994499921798706,396.537,304.609,3.5
2023-08-01,4507.66015625,83.62999725341797,4.0929999351501465,3.7725000381469727,389.174,306.082,3.7
2023-09-01,4288.0498046875,90.79000091552734,4.572999954223633,3.7260000705718994,361.759,307.276,3.7
2023-11-01,4567.7998046875,75.95999908447266,4.3520002365112305,3.8289999961853027,361.07,308.148,3.7
2023-12-01,4769.830078125,71.6500015258789,3.865999937057495,3.880500078201294,413.808,308.741,3.8
2024-01-01,4845.64990234375,75.8499984741211,3.9670000076293945,3.9024999141693115,433.171,309.698,3.7
2024-02-01,5096.27001953125,78.26000213623047,4.251999855041504,3.8345000743865967,454.09,310.967,3.9
2024-03-01,5254.35009765625,83.16999816894531,4.205999851226807,4.003499984741211,396.888,312.345,3.9
2024-04-01,5035.68994140625,81.93000030517578,4.685999870300293,4.564499855041504,385.577,313.023,3.9
2024-05-01,5277.509765625,76.98999786376953,4.571000099182129,4.610000133514404,388.131,313.175,3.9
